kafka-3-1  | 2026-09-25T22:48:39.733626047Z ===> User
kafka-3-1  | 2026-09-25T22:48:39.735100268Z uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
kafka-3-1  | 2026-09-25T22:48:39.735479429Z ===> Setting default values of environment variables if not already set.
kafka-3-1  | 2026-09-25T22:48:39.735786119Z ===> Configuring ...
kafka-3-1  | 2026-09-25T22:48:39.736028372Z Running in KRaft mode...
kafka-3-1  | 2026-09-25T22:48:39.736470637Z ===> Launching ... 
kafka-3-1  | 2026-09-25T22:48:39.740994495Z ===> Using provided cluster id 5L6g3nShT-eMCtK--X86sw ...
kafka-3-1  | 2026-09-25T22:48:44.664875357Z [2026-09-25 22:48:44,661] INFO Registered kafka:type=kafka.Log4jController MBean (kafka.utils.Log4jControllerRegistration$)
kafka-3-1  | 2026-09-25T22:48:45.104020285Z [2026-09-25 22:48:45,101] INFO Registered signal handlers for TERM, INT, HUP (org.apache.kafka.common.utils.LoggingSignalHandler)
kafka-3-1  | 2026-09-25T22:48:45.111365852Z [2026-09-25 22:48:45,109] INFO [ControllerServer id=3] Starting controller (kafka.server.ControllerServer)
kafka-3-1  | 2026-09-25T22:48:45.510867166Z [2026-09-25 22:48:45,510] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka-3-1  | 2026-09-25T22:48:45.578674276Z [2026-09-25 22:48:45,577] INFO [SocketServer listenerType=CONTROLLER, nodeId=3] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
kafka-3-1  | 2026-09-25T22:48:45.587816425Z [2026-09-25 22:48:45,587] INFO CONTROLLER: resolved wildcard host to kafka-3 (org.apache.kafka.metadata.ListenerInfo)
kafka-3-1  | 2026-09-25T22:48:45.602693102Z [2026-09-25 22:48:45,602] INFO authorizerStart completed for endpoint CONTROLLER. Endpoint is now READY. (org.apache.kafka.server.network.EndpointReadyFutures)
kafka-3-1  | 2026-09-25T22:48:45.606292722Z [2026-09-25 22:48:45,605] INFO [SharedServer id=3] Starting SharedServer (kafka.server.SharedServer)
kafka-3-1  | 2026-09-25T22:48:45.718856102Z [2026-09-25 22:48:45,717] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka-3-1  | 2026-09-25T22:48:45.725174905Z [2026-09-25 22:48:45,724] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Reloading from producer snapshot and rebuilding producer state from offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka-3-1  | 2026-09-25T22:48:45.737297626Z [2026-09-25 22:48:45,736] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka-3-1  | 2026-09-25T22:48:45.760047702Z [2026-09-25 22:48:45,759] INFO Initialized snapshots with IDs SortedSet() from /var/lib/kafka/data/__cluster_metadata-0 (kafka.raft.KafkaMetadataLog$)
kafka-3-1  | 2026-09-25T22:48:45.781225277Z [2026-09-25 22:48:45,779] INFO [raft-expiration-reaper]: Starting (kafka.raft.TimingWheelExpirationService$ExpiredOperationReaper)
kafka-3-1  | 2026-09-25T22:48:45.793589260Z [2026-09-25 22:48:45,792] INFO [RaftManager id=3] Reading KRaft snapshot and log as part of the initialization (org.apache.kafka.raft.KafkaRaftClient)
kafka-3-1  | 2026-09-25T22:48:45.797388720Z [2026-09-25 22:48:45,796] INFO [RaftManager id=3] Starting voters are VoterSet(voters={1=VoterNode(voterKey=ReplicaKey(id=1, directoryId=<undefined>), listeners=Endpoints(endpoints={ListenerName(CONTROLLER)=kafka-1/172.18.0.4:9093}), supportedKRaftVersion=SupportedVersionRange[min_version:0, max_version:0]), 2=VoterNode(voterKey=ReplicaKey(id=2, directoryId=<undefined>), listeners=Endpoints(endpoints={ListenerName(CONTROLLER)=kafka-2/172.18.0.2:9093}), supportedKRaftVersion=SupportedVersionRange[min_version:0, max_version:0]), 3=VoterNode(voterKey=ReplicaKey(id=3, directoryId=<undefined>), listeners=Endpoints(endpoints={ListenerName(CONTROLLER)=kafka-3/172.18.0.3:9093}), supportedKRaftVersion=SupportedVersionRange[min_version:0, max_version:0])}) (org.apache.kafka.raft.KafkaRaftClient)
kafka-3-1  | 2026-09-25T22:48:45.800067026Z [2026-09-25 22:48:45,799] INFO [RaftManager id=3] Starting request manager with static voters: [kafka-1:9093 (id: 1 rack: null isFenced: false), kafka-2:9093 (id: 2 rack: null isFenced: false), kafka-3:9093 (id: 3 rack: null isFenced: false)] (org.apache.kafka.raft.KafkaRaftClient)
kafka-3-1  | 2026-09-25T22:48:45.807207579Z [2026-09-25 22:48:45,806] INFO [RaftManager id=3] Attempting durable transition to UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=1348, highWatermark=Optional.empty) from null (org.apache.kafka.raft.QuorumState)
kafka-3-1  | 2026-09-25T22:48:45.829793196Z [2026-09-25 22:48:45,829] INFO [RaftManager id=3] Completed transition to UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=1348, highWatermark=Optional.empty) from null (org.apache.kafka.raft.QuorumState)
kafka-3-1  | 2026-09-25T22:48:45.838677366Z [2026-09-25 22:48:45,837] INFO [kafka-3-raft-outbound-request-thread]: Starting (org.apache.kafka.raft.KafkaNetworkChannel$SendThread)
kafka-3-1  | 2026-09-25T22:48:45.854114038Z [2026-09-25 22:48:45,847] INFO [kafka-3-raft-io-thread]: Starting (org.apache.kafka.raft.KafkaRaftClientDriver)
kafka-3-1  | 2026-09-25T22:48:45.871775009Z [2026-09-25 22:48:45,871] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-3-1  | 2026-09-25T22:48:45.874283472Z [2026-09-25 22:48:45,873] INFO [ControllerServer id=3] Waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka-3-1  | 2026-09-25T22:48:45.874761024Z [2026-09-25 22:48:45,874] INFO [ControllerServer id=3] Finished waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka-3-1  | 2026-09-25T22:48:45.887457365Z [2026-09-25 22:48:45,886] INFO [RaftManager id=3] Registered the listener org.apache.kafka.image.loader.MetadataLoader@1102664235 (org.apache.kafka.raft.KafkaRaftClient)
kafka-3-1  | 2026-09-25T22:48:45.947335031Z [2026-09-25 22:48:45,946] INFO [RaftManager id=3] Registered the listener org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@1568499637 (org.apache.kafka.raft.KafkaRaftClient)
kafka-3-1  | 2026-09-25T22:48:45.953345847Z [2026-09-25 22:48:45,952] INFO [controller-3-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-3-1  | 2026-09-25T22:48:45.963830156Z [2026-09-25 22:48:45,956] INFO [controller-3-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-3-1  | 2026-09-25T22:48:45.963886233Z [2026-09-25 22:48:45,960] INFO [controller-3-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-3-1  | 2026-09-25T22:48:45.973498595Z [2026-09-25 22:48:45,972] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
