processador-3  | 2026-09-25T22:54:58.484148425Z 2026-09-25 22:54:58,483 INFO [processador] processador 6bf78c300651 entrou no grupo; limites={'temperatura_c': 85.0, 'vibracao_mm_s': 7.1, 'energia_kw': 45.0}
processador-3  | 2026-09-25T22:55:00.930980201Z 2026-09-25 22:55:00,930 INFO [processador] REBALANCO processador=6bf78c300651 partições atribuidas: [] -> responsável por []
processador-3  | 2026-09-25T22:55:03.942261685Z 2026-09-25 22:55:03,942 INFO [processador] REBALANCO processador=6bf78c300651 partições atribuidas: [0, 2] -> responsável por [0, 2]
processador-3  | 2026-09-25T22:55:06.993046723Z 2026-09-25 22:55:06,992 WARNING [processador] ALERTA maquina=producao-fd72ee-m4 setor=producao temperatura_c=99.19 > limite 85.00 (partição=2 offset=2454)
processador-3  | 2026-09-25T22:55:08.940066807Z 2026-09-25 22:55:08,939 INFO [processador] ESTATISTICA processador=6bf78c300651 partições=[0, 2] processadas=81 (7.7 msg/s) alertas=1 duplicadas=0 por_particao={0: 33, 2: 48}
processador-3  | 2026-09-25T22:55:08.991484772Z 2026-09-25 22:55:08,991 WARNING [processador] ALERTA maquina=producao-fd72ee-m4 setor=producao temperatura_c=101.01 > limite 85.00 (partição=2 offset=2466)
processador-3  | 2026-09-25T22:55:18.940161097Z 2026-09-25 22:55:18,939 INFO [processador] ESTATISTICA processador=6bf78c300651 partições=[0, 2] processadas=100 (10.0 msg/s) alertas=1 duplicadas=0 por_particao={0: 39, 2: 61}
processador-3  | 2026-09-25T22:55:19.089531817Z 2026-09-25 22:55:19,088 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m2 setor=refrigeracao vibracao_mm_s=11.04 > limite 7.10 (partição=0 offset=1784)
processador-3  | 2026-09-25T22:55:19.991178475Z 2026-09-25 22:55:19,990 WARNING [processador] ALERTA maquina=producao-fd72ee-m2 setor=producao temperatura_c=103.29 > limite 85.00 (partição=0 offset=1787)
processador-3  | 2026-09-25T22:55:23.938505529Z 2026-09-25 22:55:23,938 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m8 setor=empacotamento temperatura_c=91.15 > limite 85.00 (partição=2 offset=2554)
processador-3  | 2026-09-25T22:55:27.089102692Z 2026-09-25 22:55:27,088 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m2 setor=refrigeracao energia_kw=58.57 > limite 45.00 (partição=0 offset=1816)
processador-3  | 2026-09-25T22:55:28.942439414Z 2026-09-25 22:55:28,942 INFO [processador] ESTATISTICA processador=6bf78c300651 partições=[0, 2] processadas=102 (10.2 msg/s) alertas=4 duplicadas=0 por_particao={0: 41, 2: 61}
processador-3  | 2026-09-25T22:55:29.991800163Z 2026-09-25 22:55:29,991 WARNING [processador] ALERTA maquina=producao-fd72ee-m2 setor=producao energia_kw=59.25 > limite 45.00 (partição=0 offset=1827)
processador-3  | 2026-09-25T22:55:30.091906134Z 2026-09-25 22:55:30,091 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m8 setor=refrigeracao energia_kw=58.12 > limite 45.00 (partição=2 offset=2594)
processador-3  | 2026-09-25T22:55:31.993124423Z 2026-09-25 22:55:31,992 WARNING [processador] ALERTA maquina=producao-fd72ee-m3 setor=producao energia_kw=56.12 > limite 45.00 (partição=2 offset=2603)
processador-3  | 2026-09-25T22:55:31.993140882Z 2026-09-25 22:55:31,993 WARNING [processador] ALERTA maquina=producao-fd72ee-m4 setor=producao vibracao_mm_s=11.21 > limite 7.10 (partição=2 offset=2604)
processador-3  | 2026-09-25T22:55:36.096919554Z 2026-09-25 22:55:36,096 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m5 setor=refrigeracao energia_kw=61.75 > limite 45.00 (partição=0 offset=1853)
processador-3  | 2026-09-25T22:55:38.943368246Z 2026-09-25 22:55:38,942 INFO [processador] ESTATISTICA processador=6bf78c300651 partições=[0, 2] processadas=98 (9.8 msg/s) alertas=5 duplicadas=0 por_particao={0: 39, 2: 59}
processador-3  | 2026-09-25T22:55:39.991701112Z 2026-09-25 22:55:39,991 WARNING [processador] ALERTA maquina=producao-fd72ee-m3 setor=producao temperatura_c=93.24 > limite 85.00 (partição=2 offset=2651)
processador-3  | 2026-09-25T22:55:40.993488456Z 2026-09-25 22:55:40,993 WARNING [processador] ALERTA maquina=producao-fd72ee-m8 setor=producao energia_kw=55.87 > limite 45.00 (partição=2 offset=2659)
processador-3  | 2026-09-25T22:55:41.941478405Z 2026-09-25 22:55:41,940 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m1 setor=empacotamento vibracao_mm_s=7.87 > limite 7.10 (partição=2 offset=2661)
processador-3  | 2026-09-25T22:55:44.089360260Z 2026-09-25 22:55:44,089 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m2 setor=refrigeracao energia_kw=63.22 > limite 45.00 (partição=0 offset=1884)
processador-3  | 2026-09-25T22:55:46.994048806Z 2026-09-25 22:55:46,993 WARNING [processador] ALERTA maquina=producao-fd72ee-m3 setor=producao energia_kw=48.12 > limite 45.00 (partição=2 offset=2693)
processador-3  | 2026-09-25T22:55:48.947046799Z 2026-09-25 22:55:48,946 INFO [processador] ESTATISTICA processador=6bf78c300651 partições=[0, 2] processadas=102 (10.2 msg/s) alertas=5 duplicadas=0 por_particao={0: 41, 2: 61}
processador-3  | 2026-09-25T22:55:53.093878188Z 2026-09-25 22:55:53,093 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m2 setor=refrigeracao vibracao_mm_s=10.97 > limite 7.10 (partição=0 offset=1920)
processador-3  | 2026-09-25T22:55:56.946156018Z 2026-09-25 22:55:56,945 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m1 setor=empacotamento vibracao_mm_s=10.16 > limite 7.10 (partição=2 offset=2751)
processador-3  | 2026-09-25T22:55:58.947789923Z 2026-09-25 22:55:58,947 INFO [processador] ESTATISTICA processador=6bf78c300651 partições=[0, 2] processadas=98 (9.8 msg/s) alertas=2 duplicadas=0 por_particao={0: 40, 2: 58}
processador-3  | 2026-09-25T22:56:08.992304304Z 2026-09-25 22:56:08,991 INFO [processador] ESTATISTICA processador=6bf78c300651 partições=[0, 2] processadas=103 (10.3 msg/s) alertas=0 duplicadas=0 por_particao={0: 41, 2: 62}
processador-3  | 2026-09-25T22:56:09.993995767Z 2026-09-25 22:56:09,993 WARNING [processador] ALERTA maquina=producao-fd72ee-m4 setor=producao temperatura_c=109.42 > limite 85.00 (partição=2 offset=2832)
processador-3  | 2026-09-25T22:56:16.993565004Z 2026-09-25 22:56:16,993 WARNING [processador] ALERTA maquina=producao-fd72ee-m2 setor=producao energia_kw=51.55 > limite 45.00 (partição=0 offset=2015)
processador-3  | 2026-09-25T22:56:17.096131551Z 2026-09-25 22:56:17,095 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m5 setor=refrigeracao temperatura_c=112.15 > limite 85.00 (partição=0 offset=2017)
processador-3  | 2026-09-25T22:56:17.992241559Z 2026-09-25 22:56:17,991 WARNING [processador] ALERTA maquina=producao-fd72ee-m2 setor=producao energia_kw=55.47 > limite 45.00 (partição=0 offset=2019)
processador-3  | 2026-09-25T22:56:18.992714406Z 2026-09-25 22:56:18,992 INFO [processador] ESTATISTICA processador=6bf78c300651 partições=[0, 2] processadas=100 (10.0 msg/s) alertas=4 duplicadas=0 por_particao={0: 40, 2: 60}
processador-3  | 2026-09-25T22:56:20.993922703Z 2026-09-25 22:56:20,993 WARNING [processador] ALERTA maquina=producao-fd72ee-m8 setor=producao vibracao_mm_s=12.01 > limite 7.10 (partição=2 offset=2899)
processador-3  | 2026-09-25T22:56:21.995164631Z 2026-09-25 22:56:21,994 WARNING [processador] ALERTA maquina=producao-fd72ee-m3 setor=producao temperatura_c=96.91 > limite 85.00 (partição=2 offset=2903)
